nct_id,downcase_mesh_term,mesh_type
NCT01271322,adenocarcinoma,mesh-list
NCT01271322,esophageal neoplasms,mesh-list
NCT01271322,carcinoma,mesh-ancestor
NCT01271322,"neoplasms, glandular and epithelial",mesh-ancestor
NCT01271322,neoplasms by histologic type,mesh-ancestor
NCT01271322,neoplasms,mesh-ancestor
NCT01271322,gastrointestinal neoplasms,mesh-ancestor
NCT01271322,digestive system neoplasms,mesh-ancestor
NCT01271322,neoplasms by site,mesh-ancestor
NCT01271322,head and neck neoplasms,mesh-ancestor
NCT01271322,digestive system diseases,mesh-ancestor
NCT01271322,esophageal diseases,mesh-ancestor
NCT01271322,gastrointestinal diseases,mesh-ancestor
NCT01170624,heart failure,mesh-list
NCT01170624,heart diseases,mesh-ancestor
NCT01170624,cardiovascular diseases,mesh-ancestor
NCT01203228,myelodysplastic syndromes,mesh-list
NCT01203228,bone marrow diseases,mesh-ancestor
NCT01203228,hematologic diseases,mesh-ancestor
NCT01569412,neoplasms,mesh-list
NCT01123473,adenocarcinoma,mesh-list
NCT01123473,stomach neoplasms,mesh-list
NCT01123473,esophageal neoplasms,mesh-list
NCT01123473,carcinoma,mesh-ancestor
NCT01123473,"neoplasms, glandular and epithelial",mesh-ancestor
NCT01123473,neoplasms by histologic type,mesh-ancestor
NCT01123473,neoplasms,mesh-ancestor
NCT01123473,gastrointestinal neoplasms,mesh-ancestor
NCT01123473,digestive system neoplasms,mesh-ancestor
NCT01123473,neoplasms by site,mesh-ancestor
NCT01123473,digestive system diseases,mesh-ancestor
NCT01123473,gastrointestinal diseases,mesh-ancestor
NCT01123473,stomach diseases,mesh-ancestor
NCT01123473,head and neck neoplasms,mesh-ancestor
NCT01123473,esophageal diseases,mesh-ancestor
NCT01140555,leiomyoma,mesh-list
NCT01140555,myofibroma,mesh-list
NCT01140555,"neoplasms, muscle tissue",mesh-ancestor
NCT01140555,"neoplasms, connective and soft tissue",mesh-ancestor
NCT01140555,neoplasms by histologic type,mesh-ancestor
NCT01140555,neoplasms,mesh-ancestor
NCT01140555,"neoplasms, connective tissue",mesh-ancestor
NCT01140555,connective tissue diseases,mesh-ancestor
NCT01312623,brain ischemia,mesh-list
NCT01312623,cerebral infarction,mesh-list
NCT01312623,heart diseases,mesh-list
NCT01312623,"heart defects, congenital",mesh-list
NCT01312623,ischemia,mesh-list
NCT01312623,cardiovascular diseases,mesh-ancestor
NCT01312623,pathologic processes,mesh-ancestor
NCT01312623,cardiovascular abnormalities,mesh-ancestor
NCT01312623,congenital abnormalities,mesh-ancestor
NCT01312623,cerebrovascular disorders,mesh-ancestor
NCT01312623,brain diseases,mesh-ancestor
NCT01312623,central nervous system diseases,mesh-ancestor
NCT01312623,nervous system diseases,mesh-ancestor
NCT01312623,vascular diseases,mesh-ancestor
NCT01312623,brain infarction,mesh-ancestor
NCT01312623,stroke,mesh-ancestor
NCT01312623,infarction,mesh-ancestor
NCT01312623,necrosis,mesh-ancestor
NCT01146821,sepsis,mesh-list
NCT01146821,infections,mesh-ancestor
NCT01146821,systemic inflammatory response syndrome,mesh-ancestor
NCT01146821,inflammation,mesh-ancestor
NCT01146821,pathologic processes,mesh-ancestor
NCT01251809,leukemia,mesh-list
NCT01251809,precursor cell lymphoblastic leukemia-lymphoma,mesh-list
NCT01251809,"leukemia, lymphoid",mesh-list
NCT01251809,neoplasms by histologic type,mesh-ancestor
NCT01251809,neoplasms,mesh-ancestor
NCT01251809,lymphoproliferative disorders,mesh-ancestor
NCT01251809,lymphatic diseases,mesh-ancestor
NCT01251809,immunoproliferative disorders,mesh-ancestor
NCT01251809,immune system diseases,mesh-ancestor
NCT01262729,respiratory aspiration,mesh-list
NCT01262729,hypothermia,mesh-list
NCT01262729,respiration disorders,mesh-ancestor
NCT01262729,respiratory tract diseases,mesh-ancestor
NCT01262729,pathologic processes,mesh-ancestor
NCT01262729,body temperature changes,mesh-ancestor
NCT01178255,depression,mesh-list
NCT01178255,depressive disorder,mesh-list
NCT01178255,behavioral symptoms,mesh-ancestor
NCT01178255,mood disorders,mesh-ancestor
NCT01178255,mental disorders,mesh-ancestor
NCT01189253,sarcoma,mesh-list
NCT01189253,"neoplasms, connective and soft tissue",mesh-ancestor
NCT01189253,neoplasms by histologic type,mesh-ancestor
NCT01189253,neoplasms,mesh-ancestor
NCT02606799,inflammation,mesh-list
NCT02606799,pathologic processes,mesh-ancestor
NCT01199783,diabetic foot,mesh-list
NCT01199783,diabetic angiopathies,mesh-ancestor
NCT01199783,vascular diseases,mesh-ancestor
NCT01199783,cardiovascular diseases,mesh-ancestor
NCT01199783,foot ulcer,mesh-ancestor
NCT01199783,leg ulcer,mesh-ancestor
NCT01199783,skin ulcer,mesh-ancestor
NCT01199783,skin diseases,mesh-ancestor
NCT01199783,diabetes complications,mesh-ancestor
NCT01199783,diabetes mellitus,mesh-ancestor
NCT01199783,endocrine system diseases,mesh-ancestor
NCT01199783,diabetic neuropathies,mesh-ancestor
NCT01339026,cardiovascular diseases,mesh-list
NCT01339026,acute coronary syndrome,mesh-list
NCT01339026,syndrome,mesh-list
NCT01339026,disease,mesh-ancestor
