mesh_heading,tree_number,major_tree_number,major_mesh_heading
Infections,C01,C01,Infections
"Aneurysm, Infected",C01.069,C01,Infections
"Arthritis, Infectious",C01.100,C01,Infections
"Arthritis, Reactive",C01.100.500,C01,Infections
Asymptomatic Infections,C01.125,C01,Infections
Bacterial Infections and Mycoses,C01.150,C01,Infections
Bacterial Infections,C01.150.252,C01,Infections
Bacteremia,C01.150.252.100,C01,Infections
Hemorrhagic Septicemia,C01.150.252.100.375,C01,Infections
Bacterial Zoonoses,C01.150.252.162,C01,Infections
Central Nervous System Bacterial Infections,C01.150.252.223,C01,Infections
Lyme Neuroborreliosis,C01.150.252.223.437,C01,Infections
"Meningitis, Bacterial",C01.150.252.223.500,C01,Infections
"Meningitis, Escherichia coli",C01.150.252.223.500.350,C01,Infections
"Meningitis, Haemophilus",C01.150.252.223.500.425,C01,Infections
"Meningitis, Listeria",C01.150.252.223.500.500,C01,Infections
"Meningitis, Meningococcal",C01.150.252.223.500.750,C01,Infections
Waterhouse-Friderichsen Syndrome,C01.150.252.223.500.750.500,C01,Infections
"Meningitis, Pneumococcal",C01.150.252.223.500.875,C01,Infections
"Tuberculosis, Meningeal",C01.150.252.223.500.937,C01,Infections
Neurosyphilis,C01.150.252.223.600,C01,Infections
Tabes Dorsalis,C01.150.252.223.600.800,C01,Infections
"Tuberculosis, Central Nervous System",C01.150.252.223.850,C01,Infections
"Tuberculoma, Intracranial",C01.150.252.223.850.400,C01,Infections
"Tuberculosis, Meningeal",C01.150.252.223.850.800,C01,Infections
"Endocarditis, Bacterial",C01.150.252.245,C01,Infections
"Endocarditis, Subacute Bacterial",C01.150.252.245.500,C01,Infections
"Eye Infections, Bacterial",C01.150.252.289,C01,Infections
"Conjunctivitis, Bacterial",C01.150.252.289.225,C01,Infections
"Conjunctivitis, Inclusion",C01.150.252.289.225.250,C01,Infections
Ophthalmia Neonatorum,C01.150.252.289.225.625,C01,Infections
Trachoma,C01.150.252.289.225.800,C01,Infections
Hordeolum,C01.150.252.289.400,C01,Infections
"Keratoconjunctivitis, Infectious",C01.150.252.289.450,C01,Infections
"Tuberculosis, Ocular",C01.150.252.289.800,C01,Infections
"Uveitis, Suppurative",C01.150.252.289.900,C01,Infections
Panophthalmitis,C01.150.252.289.900.675,C01,Infections
Fournier Gangrene,C01.150.252.377,C01,Infections
Gram-Negative Bacterial Infections,C01.150.252.400,C01,Infections
Aliivibrio Infections,C01.150.252.400.050,C01,Infections
